"","raw_ability","M_ALL","E_ALL","ALL"
"raw_ability",1,0.867317915016605,0.82231354132046,-0.0347383402294871
"M_ALL",0.867317915016605,1,0.87623779373738,-0.184309194351612
"E_ALL",0.82231354132046,0.87623779373738,1,0.251758725827501
"ALL",-0.0347383402294871,-0.184309194351612,0.251758725827501,1
"N",69190,NA,NA,NA
