"","raw_ability","M_ALL","E_ALL","ALL"
"raw_ability",1,0.854534715645027,0.82729313422376,-0.0400257296569547
"M_ALL",0.854534715645027,1,0.88985931455122,-0.204582548805159
"E_ALL",0.82729313422376,0.88985931455122,1,0.231237931952284
"ALL",-0.0400257296569547,-0.204582548805159,0.231237931952284,1
"N",289189,NA,NA,NA
