"","raw_ability","M_ALL","E_ALL","ALL"
"raw_ability",1,0.857093750702331,0.82603432035301,-0.0382661808613627
"M_ALL",0.857093750702331,1,0.886743525489116,-0.199525349441873
"E_ALL",0.82603432035301,0.886743525489116,1,0.237013363631164
"ALL",-0.0382661808613627,-0.199525349441873,0.237013363631164,1
"N",358379,NA,NA,NA
